PROVIDERCODE,PROVIDERNAME,ADDRESS,PROVINCE,REGION,ACCREDITATION,GEOMETRY,FRAME
880000000012266,CICOSAT HOSPITAL,"LINGSAT, SAN FERNANDO, LA UNION, PHILIPPINES",LA UNION,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.311737,16.637772,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000012266&#39;&amp;h=false&amp;lat=16.637315406393874&amp;lng=120.31228584811399&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000013301,FLORES-FERNANDEZ DENTAL CLINIC,"#57 GOB. LUNA  ST., SAN FERNANDO CITY, LA UNION, PHILIPPINES",LA UNION,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.315666,16.616062,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000013301&#39;&amp;h=false&amp;lat=16.61588059181393&amp;lng=120.31596583888242&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000000250,BETHANY HOSPITAL,"REAL ST., TACLOBAN CITY, LEYTE, PHILIPPINES",LEYTE,REGION 8,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>125.002678,11.232318,0.000000</coordinates></Point>",
880000000001329,LORMA MEDICAL CENTER,"CARLATAN, SAN FERNANDO, LA UNION, PHILIPPINES",LA UNION,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.317955,16.631474,0.000000</coordinates></Point>",
880000000014506,K.L. VILLAR DENTAL CLINIC,"GOV. AGUILA ROAD, SEVILLA NORTE, SAN FERNANDO CITY, LA UNION, PHILIPPINES",LA UNION,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.318893,16.614254,0.000000</coordinates></Point>",
880000000010884,DAGUPAN ORTHOPEDIC CENTER,"TAPUAC DISTRICT, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.328392,16.030203,0.000000</coordinates></Point>",
880000000013341,CASIPIT DENTAL CLINIC - LINGAYEN,"33 TONTON WEST, LINGAYEN, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.328529,16.023582,0.000000</coordinates></Point>",
880000000001349,LUZON MEDICAL CENTER,"329 MCARHUR HIGHWAY, TAPUAC DISTRCT, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.331772,16.033573,0.000000</coordinates></Point>",
880000000001632,NAZARETH GENERAL HOSPITAL,"# 203 PEREZ BLVD., DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.339783,16.040874,0.000000</coordinates></Point>",
880000000011240,ELGUIRA GENERAL HOSPITAL,"259 RIZAL AVENUE, SAN CARLOS CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.346458,15.937546,0.000000</coordinates></Point>",
880000000006026,DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL INC,"MAYOMBO DISTRICT, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.346939,16.037069,0.000000</coordinates></Point>",
880000000009733,CIPRIANA COQUIA MEMORIAL DIALYSIS AND KIDNEY CENTER,"COQUIA BLDG., 275 CARANGLAAN, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.348618,16.034595,0.000000</coordinates></Point>",
880000000011553,DECENA GENERAL HOSPITAL,"BONUAN GUESET, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.352242,16.081053,0.000000</coordinates></Point>",
880000000001497,MEDICAL CENTRUM DAGUPAN,"A.B. FERNANDEZ AVENUE EAST, DAGUPAN CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.352638,16.046247,0.000000</coordinates></Point>",
880000000013134,PERTIERRA-NOGUERA DENTAL CLINIC,"2ND FLR.PARAYNO BLDG. POBLACION EAST CALASIO  PANGASINAN, CALASIAO, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.355759,16.008835,0.000000</coordinates></Point>",
880000000002232,ST. JAMES HOSPITAL VQR MEDICAL FOUNDATION,"PANTAY, DAYA, VIGAN CITY, ILOCOS SUR, PHILIPPINES",ILOCOS SUR,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.372688,17.601076,0.000000</coordinates></Point>",
880000000009104,METRO VIGAN COOPERATIVE HOSPITAL,"ROXAS DIKE ROAD, BANTAY, , ILOCOS SUR, PHILIPPINES",ILOCOS SUR,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.386566,17.580795,0.000000</coordinates></Point>",
880000000014663,SHIELA PAZ LORAINE REYES JURADO DENTAL CLINIC,"20 BONIFACIO ST., VIGAN CITY, ILOCOS SUR, PHILIPPINES",ILOCOS SUR,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.388313,17.573053,0.000000</coordinates></Point>",
880000000000395,CANDON GENERAL HOSPITAL,"TABLAC, CANDON CITY, ILOCOS SUR, PHILIPPINES",ILOCOS SUR,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.456848,17.211250,0.000000</coordinates></Point>",
880000000013691,MAHESECO MULTI-PURPOSE COOPERATIVE HOSPITAL,"LAKANDULA ST., POBLACION, MARIVELES, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.486137,14.433727,0.000000</coordinates></Point>",
880000000002611,WOMEN'S HOSPITAL,"SAMPAGUITA ST., ST. JOSEPH SUBDIVISION, BALANGA CITY, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.535583,14.677474,0.000000</coordinates></Point>",
880000000009070,ILAYA MEDICAL CLINIC,"LAUREL ST., SAN JOSE,, BALANGA CITY, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.537987,14.678862,0.000000</coordinates></Point>",
880000000000218,"BATAAN ST. JOSEPH HOSPITAL, INC.","DON MANUEL BANZON AVE., BALANGA CITY, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.541588,14.681433,0.000000</coordinates></Point>",
880000000000216,"BATAAN DOCTORS HOSPITAL, INC.","DONA, FRANCISCA SUBDIVISION, BALANGA CITY, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.542763,14.682829,0.000000</coordinates></Point>",
880000000013799,CAJIGAL DENTAL CLINIC,"2 / F LUZOD BLDG., WASHINGTON ST., ABLAN, BATAC, ILOCOS NORTE, BATAC, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.566071,18.058151,0.000000</coordinates></Point>",
880000000014802,LIFECARE MEDICAL AND DIAGNOSTIC CENTER,"2/F ROCCA BLDG., ALEXANDER ST., POBLACION, URDANETA CITY, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.569717,15.975723,0.000000</coordinates></Point>",
880000000011261,ORION ST. MICHAEL HOSPITAL,"CALLE JOSE PROTACIO RIZAL WAKAS, ORION, BATAAN, PHILIPPINES",BATAAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.577972,14.620072,0.000000</coordinates></Point>",
880000000000474,CENTRAL LUZON DOCTORS HOSPITAL,"HOSPITAL DRIVE, SAN VICENTE, TARLAC CITY, TARLAC, PHILIPPINES",TARLAC,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.587288,15.478352,0.000000</coordinates></Point>",
880000000000705,DR. ANTONIO A. RANADA CLINIC & LYING-IN HOSPITAL,"BRGY. 7-A S. HERNANDO AVE, LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.590881,18.196911,0.000000</coordinates></Point>",
880000000006065,TALON GENERAL HOSPITAL,"F. TANEDO ST., TARLAC CITY, TARLAC, PHILIPPINES",TARLAC,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.591553,15.490803,0.000000</coordinates></Point>",
880000000001936,RANADA GENERAL HOSPITAL,"BRGY. 9 BALINTAWAK STS., LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.592102,18.196562,0.000000</coordinates></Point>",
880000000009128,RAMOS GENERAL HOSPITAL,"769 P. HILARIO ST., LIGTASAN, TARLAC CITY, TARLAC, PHILIPPINES",TARLAC,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.592773,15.484871,0.000000</coordinates></Point>",
880000000009687,BONE & JOINT CLINIC,"21 P. GOMEZ STREET, LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.593811,18.202988,0.000000</coordinates></Point>",
880000000009472,PINES CITY DOCTORS HOSPITAL,"MAGSAYSAY AVENUE, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.594543,16.426937,0.000000</coordinates></Point>",
880000000013797,BUDUAN DENTAL CLINIC,"G / F BUNO'S BLDG., J.P. RIZAL, LAOAG CITY, ILOCOS NORTE, LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.594643,18.195118,0.000000</coordinates></Point>",
880000000001548,METROBAGUIO LABORATORIES,"146 KISAD ROAD (BGH ROTONDA), BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.595436,16.402897,0.000000</coordinates></Point>",
880000000012075,BENGUET LABORATORIES-CENTER MALL BRANCH,"LM 4 BAGUIO CENTER MALL, MAGSAYSAY AVE., BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.596352,16.416471,0.000000</coordinates></Point>",
880000000013305,D.M TAGUDAR DENTAL CLINIC,"MEZZANINE FLR. ROMEL BLDG. 56 BONIFACIO ST., BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.596664,16.418385,0.000000</coordinates></Point>",
880000000013304,ADNOL DENTAL CLINIC,"RM.107 VICTORIASHOPPES VILLE. UPPER MABINI STREET, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.596710,16.413836,0.000000</coordinates></Point>",
880000000013302,PRESILLAS-COSTALES DENTAL CLINIC,"RM.A207A LOPEZ BLDG. SESSION RD. BAGUIO CITY, BAGUIO CITY, BENGUET, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.596794,16.412889,0.000000</coordinates></Point>",
880000000009306,HOLY TRINITY HOSPITAL,"# 505 QUEZON ST. SAN MIGUEL, TARLAC CITY, TARLAC, PHILIPPINES",TARLAC,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.596848,15.433323,0.000000</coordinates></Point>",
880000000014737,ABRIOL DENTAL CLINIC,"212 VICTORIA SHOPPESVILLE UPPER MABINI, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.596916,16.413990,0.000000</coordinates></Point>",
880000000002283,ST. LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,"ASSUMPTION ROAD, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.597618,16.417118,0.000000</coordinates></Point>",
880000000013796,SUGUITAN DENTAL CLINIC,"RM. 102 NORTHERN DOCTORS GEN. HOSPITAL, J.P. RIZAL ST.,, LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.597748,18.194191,0.000000</coordinates></Point>",
880000000000174,BAGUIO DOCTOR'S MEDICAL LABORATORY,"RMS. 212 -215 GP SHOPPING ARCADE, UPPER MABINI STREET, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.598053,16.411381,0.000000</coordinates></Point>",
880000000001955,ILOCOS EENT CLINIC,"BRGY. 20 M.H. DEL PILAR ST., LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.598427,18.195395,0.000000</coordinates></Point>",
880000000009357,NOTRE DAME DE CHARTRES HOSPITAL,"25 GEN. LUNA ROAD, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.598846,16.415766,0.000000</coordinates></Point>",
880000000009364,BENGUET LABORATORIES-SM BAGUIO BRANCH,"UNIT 044-045 LOWER GROUND FLOOR, SM CITY BAGUIO LUNETA HILL, BAGUIO CITY, BENGUET, PHILIPPINES",BENGUET,CAR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.599411,16.409000,0.000000</coordinates></Point>",
880000000013795,MANUEL- RELIGIOSO DENTAL CLINIC,"BRGY. 14 M.H. DEL COR. ACOSTA & PILAR STS.,  LAOAG CITY, LAOAG CITY, ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,REGION 1,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.604820,18.194048,0.000000</coordinates></Point>",
880000000000200,BANGUED CHRISTIAN HOSPITAL,"TORRIJOS ST. ZONE 5, BANGUED, ABRA, PHILIPPINES",ABRA,CAR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.614967,17.597660,0.000000</coordinates></Point>",
880000000000757,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,"PENARRUBIA ST., ZONE 4, BANGUED, ABRA, PHILIPPINES",ABRA,CAR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.620422,17.596197,0.000000</coordinates></Point>",
880000000013917,DR. EUTIQUIO LL. ATANACIO JR. MEMORIAL HOSPITAL INC,"F. TIMBOL ST., SAN NICOLAS, CONCEPCION, CONCEPCION, TARLAC, PHILIPPINES",TARLAC,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.655830,15.323354,0.000000</coordinates></Point>",
880000000009683,TAYUG FAMILY HOSPITAL,"# 1058 MAGSAYSAY ST., TAYUG, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.743164,16.027969,0.000000</coordinates></Point>",
880000000009681,SAN PASCUAL BAYLON MATERNITY AND GENERAL HOSPITAL,"STO. NINO, PAOMBONG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.789497,14.837383,0.000000</coordinates></Point>",
880000000002119,SANTOS GENERAL HOSPITAL OF MALOLOS,"F. ESTRELLA ST., STO. ROSARIO, MALOLOS CITY, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.811699,14.840922,0.000000</coordinates></Point>",
880000000010896,SANTISSIMA TRINIDAD HOSPITAL,"MABINI, PINAGBAKAHAN, MALOLOS CITY, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.814598,14.831795,0.000000</coordinates></Point>",
880000000001405,MALOLOS SAN VICENTE HOSPITAL,"LUCERO ST., CANIOGAN, MALOLOS CITY, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.816994,14.845718,0.000000</coordinates></Point>",
880000000001730,OUR SAVIOR HOSPITAL,"GENERAL TRIAS DRIVE, ROSARIO, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.856415,14.414283,0.000000</coordinates></Point>",
880000000014759,TEETH B WITH YOU DENTAL CLINIC,"259 2ND FLOOR SM CITY ROSARIO, ROSARIO, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.857674,14.409514,0.000000</coordinates></Point>",
880000000009129,CONTRERAS MEDICAL CLINIC,"GEN. TRIAS DRIVE, POBLACION, ROSARIO, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.857857,14.413488,0.000000</coordinates></Point>",
880000000009008,OUR LADY OF MERCY GENERAL HOSPITAL,"DOÑA REMEDIOS TRINIDAD, LONGOS, PULILAN, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.866089,14.893929,0.000000</coordinates></Point>",
880000000002111,M.V. SANTIAGO MEDICAL CENTER,"BRGY. DE OCAMPO, , CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.866150,14.294255,0.000000</coordinates></Point>",
880000000000663,DIVINE GRACE MEDICAL CENTER,"BY PASS ROAD BACAO, GENERAL TRIAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.867973,14.397813,0.000000</coordinates></Point>",
880000000013311,M.E.C. CUDIAMAT DENTAL CLINIC,"UNIT 1&2 NEWHALL COMM. CENTER MANGGAHAN,, GENERAL TRIAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.868439,14.282218,0.000000</coordinates></Point>",
880000000009758,MULTILAB DIAGNOSTIC & HEALTH SERVICES,"#52 TRECE INDANG ROAD, BRGY. LUCIANO, , CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.870872,14.276153,0.000000</coordinates></Point>",
880000000013370,BASA DENTAL CLINIC - CAVITE,"179 PLARIDEL ST. INDANG CAVITE, INDANG, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.880531,14.195163,0.000000</coordinates></Point>",
